ID,Group,Pre_Overall_Perf,Pre_Overall_Hits,Pre_Overall_CorrRejs,Pre_Overall_FalseAl,Pre_Overall_Misses,Pre_Overall_RTs,Pre_Overall_EffRating,Pre_N1_Perf,Pre_N1_Hits,Pre_N1_CorrRejs,Pre_N1_FalseAl,Pre_N1_Misses,Pre_N1_RTs,Pre_N1_EffRating,Pre_N2_Perf,Pre_N2_Hits,Pre_N2_CorrRejs,Pre_N2_FalseAl,Pre_N2_Misses,Pre_N2_RTs,Pre_N2_EffRating,Pre_N3_Perf,Pre_N3_Hits,Pre_N3_CorrRejs,Pre_N3_FalseAl,Pre_N3_Misses,Pre_N3_RTs,Pre_N3_EffRating,Post_Overall_Perf,Post_Overall_Hits,Post_Overall_CorrRejs,Post_Overall_FalseAl,Post_Overall_Misses,Post_Overall_RTs,Post_Overall_EffRating,Post_N1_Perf,Post_N1_Hits,Post_N1_CorrRejs,Post_N1_FalseAl,Post_N1_Misses,Post_N1_RTs,Post_N1_EffRating,Post_N2_Perf,Post_N2_Hits,Post_N2_CorrRejs,Post_N2_FalseAl,Post_N2_Misses,Post_N2_RTs,Post_N2_EffRating,Post_N3_Perf,Post_N3_Hits,Post_N3_CorrRejs,Post_N3_FalseAl,Post_N3_Misses,Post_N3_RTs,Post_N3_EffRating,Diff_Overall_Perf,Diff_Overall_Hits,Diff_Overall_CorrRejs,Diff_Overall_FalseAl,Diff_Overall_Misses,Diff_Overall_RTs,Diff_Overall_EffRating,Diff_N1_Perf,Diff_N1_Hits,Diff_N1_CorrRejs,Diff_N1_FalseAl,Diff_N1_Misses,Diff_N1_RTs,Diff_N1_EffRating,Diff_N2_Perf,Diff_N2_Hits,Diff_N2_CorrRejs,Diff_N2_FalseAl,Diff_N2_Misses,Diff_N2_RTs,Diff_N2_EffRating,Diff_N3_Perf,Diff_N3_Hits,Diff_N3_CorrRejs,Diff_N3_FalseAl,Diff_N3_Misses,Diff_N3_RTs,Diff_N3_EffRating
216,2,82.3300080266025,59.7883597883598,94.5454545454545,5.45454545454546,40.2116402116402,105.477192982456,37.7222222222222,89.4736842105263,84.7222222222222,93.3333333333333,6.66666666666667,15.2777777777778,104.783333333333,13.6111111111111,88.8888888888889,65.2777777777778,96.6666666666667,3.33333333333333,34.7222222222222,105.6,45.7777777777778,68.6274509803922,29.3650793650794,93.6363636363636,6.36363636363636,70.6349206349206,106.048245614035,53.7777777777778,86.0126896762604,62.3941798941799,97.0458553791887,2.95414462081129,37.6058201058201,105.421929824561,28.75,97.3684210526316,92.2619047619048,100,0,7.73809523809524,104.683552631579,11.5208333333333,80.5555555555556,37.5,96.4285714285714,3.57142857142857,62.5,106.125,32.8333333333333,74.5098039215686,39.1666666666667,93.5185185185185,6.48148148148148,60.8333333333333,105.937719298246,49,3.68268164965791,2.60582010582011,2.50040083373416,-2.50040083373417,-2.60582010582009,-0.0552631578947285,-8.97222222222223,7.89473684210525,7.53968253968254,6.66666666666667,-6.66666666666667,-7.53968253968254,-0.0997807017543977,-2.09027777777778,-8.33333333333333,-27.7777777777778,-0.238095238095241,0.238095238095238,27.7777777777778,0.524999999999991,-12.9444444444444,5.88235294117648,9.8015873015873,-0.117845117845107,0.117845117845117,-9.8015873015873,-0.110526315789471,-4.77777777777778
217,1,67.6050147154378,58.7566137566138,71.6847966847967,21.050246050246,41.2433862433862,104.627209226771,89.6867612293144,80.7017543859649,85.7142857142857,78.2051282051282,10.8974358974359,14.2857142857143,104.118128654971,76.1820330969267,57.4074074074074,42.2222222222222,64.957264957265,24.1452991452991,57.7777777777778,104.746832358674,96.306146572104,64.7058823529412,48.3333333333333,71.8919968919969,28.1080031080031,51.6666666666667,105.016666666667,96.5721040189125,66.1831594236135,55.4761904761905,71.6563066563067,25.3133903133903,44.5238095238095,104.512020792723,74.7438928289992,94.7368421052632,91.6666666666667,96.6666666666667,3.33333333333333,8.33333333333333,104.316666666667,29.4917257683215,52.7777777777778,35.7142857142857,63.6363636363636,27.2727272727273,64.2857142857143,104.977777777778,94.0159574468085,51.4705882352941,38.2142857142857,56.9085081585082,40.8187645687646,61.7857142857143,104.425657894737,99.0469858156028,-1.42185529182433,-3.28042328042329,-0.0284900284900402,4.26314426314427,3.28042328042327,-0.115188434048093,-14.9428684003152,14.0350877192982,5.95238095238096,18.4615384615385,-7.56410256410256,-5.95238095238095,0.198538011695902,-46.6903073286052,-4.62962962962963,-6.50793650793651,-1.32090132090133,3.12742812742813,6.5079365079365,0.230945419103321,-2.29018912529551,-13.2352941176471,-10.1190476190476,-14.9834887334887,12.7107614607615,10.1190476190476,-0.591008771929822,2.4748817966903
218,1,74.2537170813745,69.0740740740741,76.2820512820513,23.7179487179487,30.9259259259259,104.608447043535,51.2037037037037,82.4561403508772,91.6666666666667,80.2380952380952,19.7619047619048,8.33333333333333,104.543859649123,46.7361111111111,81.4814814814815,75.5555555555556,82.7350427350427,17.2649572649573,24.4444444444444,104.718518518519,53.2638888888889,58.8235294117647,40,65.8730158730159,34.1269841269841,60,104.562962962963,53.6111111111111,68.7230057715094,84.9867724867725,62.4184149184149,37.5815850815851,15.0132275132275,103.636679662118,58.8966049382716,77.1929824561403,84.7222222222222,73.4090909090909,26.5909090909091,15.2777777777778,104.052631578947,57.0833333333333,74.0740740740741,86.9047619047619,64.5454545454545,35.4545454545455,13.0952380952381,103.179337231969,56.2731481481481,54.9019607843137,83.3333333333333,49.3006993006993,50.6993006993007,16.6666666666667,103.678070175439,63.3333333333333,-5.53071130986507,15.9126984126984,-13.8636363636364,13.8636363636364,-15.9126984126984,-0.971767381416512,7.69290123456789,-5.26315789473685,-6.94444444444446,-6.82900432900432,6.82900432900433,6.94444444444444,-0.491228070175453,10.3472222222222,-7.40740740740742,11.3492063492064,-18.1895881895882,18.1895881895882,-11.3492063492063,-1.53918128654971,3.00925925925926,-3.92156862745099,43.3333333333333,-16.5723165723166,16.5723165723166,-43.3333333333333,-0.884892787524379,9.72222222222222
219,2,82.2363643313076,48.4259259259259,93.3455433455434,5.7997557997558,51.5740740740741,101.151202079272,61.018925220975,96.4912280701754,89.1666666666667,100,0,10.8333333333333,101.719298245614,6.72685863022613,79.6296296296296,36.6666666666667,92.6739926739927,7.32600732600733,63.3333333333333,100.982456140351,76.4193915731251,70.5882352941177,19.4444444444444,87.3626373626374,10.0732600732601,80.5555555555556,100.751851851852,99.9105254595738,84.7055001337767,64.9470899470899,94.4017094017094,4.67236467236467,35.0529100529101,101.26081871345,23.7215986117889,97.8947368421053,93.3333333333333,100,0,6.66666666666667,101.414736842105,7.42313323572474,61.1111111111111,33.3333333333333,75,16.6666666666667,66.6666666666667,101.473684210526,88.3601756954612,70.5882352941177,28.1746031746032,91.5384615384615,8.46153846153846,71.8253968253968,100.933333333333,29.3395152106719,2.46913580246914,16.521164021164,1.05616605616605,-1.12739112739113,-16.521164021164,0.109616634178053,-37.2973266091861,1.40350877192982,4.16666666666666,0,0,-4.16666666666667,-0.304561403508757,0.696274605498617,-18.5185185185185,-3.33333333333334,-17.6739926739927,9.34065934065934,3.33333333333332,0.491228070175424,11.9407841223361,0,8.73015873015873,4.17582417582419,-1.61172161172161,-8.73015873015873,0.181481481481484,-70.5710102489019
220,2,85.4603829836028,74.7354497354497,90.1261701261701,9.87382987382987,25.2645502645503,105.284795321637,47.8877725242974,92.9824561403509,86.9047619047619,94.8717948717949,5.12820512820513,13.0952380952381,105.016666666667,30.4398148148148,88.8888888888889,77.7777777777778,92.0634920634921,7.93650793650794,22.2222222222222,105.354385964912,48.7268518518519,74.5098039215686,59.5238095238095,83.4432234432234,16.5567765567766,40.4761904761905,105.483333333333,64.4966509062254,91.6083782440852,86.7592592592593,92.0314253647587,7.9685746352413,13.2407407407407,105.016666666667,48.2407407407407,98.2456140350877,83.3333333333333,100,0,16.6666666666667,105.483333333333,19.4212962962963,97.2222222222222,100,95.8333333333333,4.16666666666667,0,105.075,49.5138888888889,83.8235294117647,82.7083333333333,84.1540404040404,15.8459595959596,17.2916666666667,104.6375,69.21875,6.14799526048236,12.0238095238095,1.90525523858857,-1.90525523858857,-12.0238095238095,-0.268128654970752,0.352968216443389,5.26315789473685,-3.57142857142858,5.12820512820512,-5.12820512820513,3.57142857142857,0.466666666666669,-11.0185185185185,8.33333333333336,22.2222222222222,3.76984126984127,-3.76984126984127,-22.2222222222222,-0.279385964912294,0.787037037037036,9.31372549019606,23.1845238095238,0.710816960816985,-0.710816960816965,-23.1845238095238,-0.845833333333331,4.72209909377462
221,2,83.3983105912931,72.962962962963,88.9882494049161,11.0117505950839,27.037037037037,104.873619233268,96.7220079885259,96.4912280701754,94.4444444444445,97.9166666666667,2.08333333333333,5.55555555555555,105.157894736842,91.0932459908035,87.0370370370371,83.3333333333333,88.3241758241758,11.6758241758242,16.6666666666667,104.407407407407,99.4225122995719,66.6666666666667,41.1111111111111,80.7239057239057,19.2760942760943,58.8888888888889,105.055555555556,99.6502656752023,91.1325153843214,87.8306878306878,93.5022493846023,5.48764960529666,12.1693121693122,104.792684325192,79.6621956139258,96.4912280701754,100,93.9393939393939,6.06060606060606,0,104.175438596491,59.3379181886235,94.4444444444444,92.2619047619048,96.7436974789916,3.2563025210084,7.73809523809524,105.25,84.9927091435609,76.4705882352941,60.7142857142857,86.3636363636364,9.09090909090909,39.2857142857143,104.803921568627,99.4875846926092,7.73420479302831,14.8677248677249,4.51399997968625,-5.52410098978726,-14.8677248677249,-0.0809349080762871,-17.0598123746001,0,5.55555555555554,-3.97727272727273,3.97727272727273,-5.55555555555555,-0.982456140350862,-31.7553278021799,7.40740740740739,8.92857142857143,8.41952165481577,-8.41952165481577,-8.92857142857143,0.842592592592595,-14.4298031560111,9.80392156862744,19.6031746031746,5.63973063973064,-10.1851851851852,-19.6031746031746,-0.251633986928098,-0.162680982593133
222,2,77.8026220234683,83.1481481481482,76.4358326858327,23.5641673141673,16.8518518518519,102.566666666667,52.2736625514403,94.7368421052632,100,92.3076923076923,7.69230769230769,0,102.566666666667,23.2407407407407,75.9259259259259,87.7777777777778,73.5576923076923,26.4423076923077,12.2222222222222,102.566666666667,58.6728395061728,62.7450980392157,61.6666666666667,63.4421134421135,36.5578865578866,38.3333333333333,102.566666666667,74.9074074074074,83.5435538737912,83.0992464325798,85.5188638521972,14.4811361478028,16.9007535674202,102.333333333333,56.7695473251029,96.4912280701754,93.3333333333333,97.7777777777778,2.22222222222222,6.66666666666667,101.516666666667,41.6358024691358,84.7222222222222,79.4733044733045,88.6994949494949,11.3005050505051,20.5266955266955,102.8,65.2546296296296,61.7647058823529,75,60.7692307692308,39.2307692307692,25,102.625,62.5,5.74093185032295,-0.0489017155683911,9.08303116636449,-9.08303116636449,0.048901715568384,-0.233333333333334,4.49588477366254,1.75438596491227,-6.66666666666667,5.47008547008546,-5.47008547008547,6.66666666666667,-1.05,18.3950617283951,8.79629629629629,-8.30447330447332,15.1418026418026,-15.1418026418026,8.30447330447331,0.233333333333334,6.5817901234568,-0.980392156862749,13.3333333333333,-2.67288267288268,2.67288267288268,-13.3333333333333,0.0583333333333371,-12.4074074074074
223,2,77.7051561365287,73.4259259259259,78.8788988788989,21.1211011211011,26.5740740740741,104.316666666667,67.7216700987853,100,100,100,0,0,104.2,17.4635150863999,70.3703703703704,59.1666666666667,72.7838827838828,27.2161172161172,40.8333333333333,104.55,88.9470856835885,62.7450980392157,61.1111111111111,63.8528138528139,36.1471861471861,38.8888888888889,104.2,96.7544095263676,81.8445896877269,77.4029982363316,84.6535871535871,15.3464128464128,22.5970017636684,104.744444444444,80.5309338347211,100,100,100,0,0,105.6,5.57346226161698,92.5925925925926,95.8333333333333,91.3752913752914,8.62470862470863,4.16666666666667,104.433333333333,86.0461993016385,71.764705882353,61.8253968253968,77.5512820512821,22.4487179487179,38.1746031746032,104.76,92.2132688691915,4.13943355119824,3.97707231040565,5.77468827468826,-5.77468827468827,-3.97707231040564,0.427777777777763,12.8092637359358,0,0,0,0,0,1.39999999999999,-11.8900528247829,22.2222222222222,36.6666666666667,18.5914085914086,-18.5914085914086,-36.6666666666667,-0.11666666666666,-2.90088638195005,9.01960784313727,0.714285714285715,13.6984681984682,-13.6984681984682,-0.714285714285708,0.560000000000002,-4.54114065717611
224,1,76.6368535718381,80,77.1767584267584,22.8232415732416,20,102.662865497076,52.4498456790124,92.9824561403509,90,97.6190476190476,2.38095238095238,10,102.566666666667,42.2164351851852,72.2222222222222,81.1111111111111,70.7799145299145,29.2200854700855,18.8888888888889,102.621929824561,53.5590277777778,64.7058823529412,68.8888888888889,63.1313131313131,36.8686868686869,31.1111111111111,102.8,61.5740740740741,84.5965676719031,78.9814814814815,88.3375420875421,11.6624579124579,21.0185185185185,102.061111111111,62.1720679012346,96.4912280701754,95.8333333333333,97.7777777777778,2.22222222222222,4.16666666666667,101.983333333333,48.7268518518518,92.5925925925926,100,90.9722222222222,9.02777777777778,0,102.45,60.9085648148148,64.7058823529412,41.1111111111111,76.2626262626263,23.7373737373737,58.8888888888889,101.75,76.880787037037,7.95971410006499,-1.01851851851853,11.1607836607837,-11.1607836607837,1.01851851851852,-0.601754385964909,9.72222222222223,3.50877192982458,5.83333333333333,0.158730158730137,-0.158730158730159,-5.83333333333333,-0.583333333333343,6.51041666666666,20.3703703703704,18.8888888888889,20.1923076923077,-20.1923076923077,-18.8888888888889,-0.171929824561389,7.34953703703703,0,-27.7777777777778,13.1313131313131,-13.1313131313131,27.7777777777778,-1.05000000000001,15.306712962963
225,1,84.7055001337767,84.4797178130512,86.7595367595368,13.2404632404632,15.5202821869489,102.543790849673,49.7942386831276,96.4912280701754,94.4444444444445,97.4358974358974,2.56410256410256,5.55555555555555,102.566666666667,0.172839506172839,87.0370370370371,87.1428571428572,89.8268398268398,10.1731601731602,12.8571428571429,102.566666666667,49.7530864197531,70.5882352941176,71.8518518518518,73.015873015873,26.984126984127,28.1481481481481,102.498039215686,99.4567901234568,84.6290563008829,80.3703703703704,87.4699374699375,11.7364117364117,19.6296296296296,102.343567251462,57.4320987654321,94.7368421052632,96.6666666666667,95.2380952380952,2.38095238095238,3.33333333333333,102.364035087719,3.16049382716049,94.4444444444445,94.4444444444445,94.4444444444445,5.55555555555555,5.55555555555555,102.45,69.4320987654321,64.7058823529412,50,72.7272727272727,27.2727272727273,50,102.216666666667,99.7037037037037,-0.0764438328937729,-4.10934744268077,0.710400710400734,-1.50405150405151,4.10934744268078,-0.200223598211196,7.63786008230453,-1.75438596491227,2.22222222222221,-2.1978021978022,-0.183150183150183,-2.22222222222222,-0.202631578947361,2.98765432098765,7.4074074074074,7.3015873015873,4.61760461760463,-4.61760461760462,-7.3015873015873,-0.116666666666674,19.679012345679,-5.88235294117646,-21.8518518518518,-0.288600288600279,0.288600288600282,21.8518518518519,-0.281372549019622,0.24691358024691
