ID,group,brsi_all,pre_mood,post_mood,diff_mood,pre_ci,pre_ci_all_1,pre_ci_all_2,pre_ci_all_3,pre_ci_all_4,post_ci_all,post_ci_all_1,post_ci_all_2,post_ci_all_3,post_ci_all_4,diff_ci
132,1,2,0.592447916666667,0.53,-0.0624479166666666,1.25,1,1,1,2,1.75,2,1,1,3,0.5
133,2,0,0.696527772479587,0.88,0.183472227520413,0,0,0,0,0,0,0,0,0,0,0
134,2,0,0.900683260126891,0.960227272727273,0.0595440126003816,0.25,1,0,0,0,0.5,0,0,1,1,0.25
135,2,0,0.498935879085507,0.947878778631037,0.44894289954553,0.5,1,1,0,0,0,0,0,0,0,-0.5
136,2,0,0.704340272479587,0.95,0.245659727520413,0.5,2,0,0,0,0.25,1,0,0,0,-0.25
137,1,3,0.802430550257365,0.524545454545455,-0.27788509571191,0,0,0,0,0,0.25,0,0,0,1,0.25
138,2,0,0.695011337868481,0.492727272727273,-0.202284065141208,0.75,1,1,0,1,1,1,2,0,1,0.25
139,1,3,0.605555555555556,0.72,0.114444444444444,0.5,1,1,0,0,0.75,1,1,0,1,0.25
140,2,0,0.398148148148148,0.577272727272727,0.179124579124579,1.25,4,1,0,0,1,2,0,1,1,-0.25
141,2,0,0.509389671361502,0.494903737259343,-0.0144859341021592,0.25,1,0,0,0,0,0,0,0,0,-0.25
142,1,2,0.501388888888889,0.26,-0.241388888888889,1.5,1,1,2,2,3.5,3,4,4,3,2
143,2,0,0.994192288921425,0.98,-0.0141922889214251,0,0,0,0,0,0,0,0,0,0,0
144,2,0,0.67820324005891,0.690909090909091,0.0127058508501807,0.5,1,0,0,1,1.25,1,2,0,2,0.75
145,1,3,0.693055550257365,0.390909090909091,-0.302146459348274,0,0,0,0,0,0.25,0,0,0,1,0.25
146,2,1,0.697222222222222,0.672727272727273,-0.0244949494949496,0.25,0,0,0,1,0,0,0,0,0,-0.25
147,1,3,0.999118165784832,0.285454545454545,-0.713663620330287,0,0,0,0,0,0,0,0,0,0,0
148,1,2,0.965277777777778,0.56,-0.405277777777778,0.5,1,1,0,0,0.25,0,1,0,0,-0.25
149,1,1,0.698611111111111,0.784545454545455,0.0859343434343435,0,0,0,0,0,0,0,0,0,0,0
150,2,0,0.9171875,0.812727272727273,-0.104460227272727,0,0,0,0,0,0,0,0,0,0,0
151,1,1,0.835602086251943,0.529090909090909,-0.306511177161034,0.5,2,0,0,0,1,2,0,1,1,0.5
152,1,0,0.997743050257365,0.990909090909091,-0.00683395934827391,0,0,0,0,0,0,0,0,0,0,0
153,2,0,0.594965272479587,0.631818181818182,0.0368529093385948,0.5,0,0,0,2,1,1,1,0,2,0.5
154,1,2,0.70173610581292,0.594545454545455,-0.107190651267466,1.5,2,1,1,2,2,3,2,2,1,0.5
155,2,0,0.60125,0.487272727272727,-0.113977272727273,0,0,0,0,0,0,0,0,0,0,0
156,2,0,0.628898142538823,0.690974037863991,0.0620758953251687,0,0,0,0,0,0.5,1,0,0,1,0.5
157,1,1,0.691756266932334,0.570909090909091,-0.120847176023243,2.25,2,3,3,1,1.5,1,1,3,1,-0.75
158,2,0,0.605555555555556,0.568181818181818,-0.0373737373737373,1,2,0,0,2,0.5,1,0,0,1,-0.5
159,1,2,0.695659716924032,0.5,-0.195659716924032,2.25,3,0,2,4,1.25,2,0,1,2,-1
160,1,3,0.500347216924032,0.34,-0.160347216924032,0.25,1,0,0,0,0,0,0,0,0,-0.25
161,2,0,0.596296296296296,0.696152004281811,0.0998557079855145,0.75,1,0,0,2,0.5,0,0,0,2,-0.25
162,1,1,0.853125,0.726363636363636,-0.126761363636364,0.75,1,0,0,2,1,1,1,0,2,0.25
163,1,3,0.783680550257365,0.296363636363636,-0.487316913893729,0,0,0,0,0,1,1,2,1,0,1
164,2,0,0.499650583327191,0.565454545454545,0.065803962127354,0,0,0,0,0,0.5,0,0,1,1,0.5
165,2,1,0.751366120218579,0.663636363636364,-0.0877297565822155,2.25,4,1,1,3,2,4,0,1,3,-0.25
166,2,0,0.701388888888889,0.753636363636364,0.0522474747474747,1.75,3,1,1,2,0.75,1,0,1,1,-1
167,1,2,0.716180559794108,0.715454545454545,-0.000726014339562653,2.25,1,3,4,1,1.75,1,2,3,1,-0.5
168,2,1,0.701388888888889,0.784545454545455,0.0831565656565657,1,1,0,1,2,1.5,4,0,0,2,0.5
169,1,3,0.807407407407407,0.102727272727273,-0.704680134680135,0,0,0,0,0,1.5,2,2,2,0,1.5
170,2,0,0.981944444444444,0.474545454545455,-0.50739898989899,1,2,0,0,2,0.25,0,0,0,1,-0.75
171,2,0,0.900208986415883,0.690909090909091,-0.209299895506792,0.75,1,0,0,2,0.75,1,0,0,2,0
172,1,3,0.897291660308838,0.348181818181818,-0.54910984212702,0.75,1,0,1,1,1.75,2,2,1,2,1
173,2,0,0.49861110581292,0.823636363636364,0.325025257823443,0.75,2,1,0,0,0.25,0,0,1,0,-0.5
174,2,1,0.505555550257365,0.489090909090909,-0.0164646411664558,0.75,0,0,0,3,0.75,0,0,0,3,0
175,2,0,0.557182705718271,0.755454545454545,0.198271839736275,0.75,2,0,0,1,1,2,0,0,2,0.25
176,2,0,0.920204978038067,0.811919181130149,-0.108285796907918,0,0,0,0,0,0,0,0,0,0,0
177,2,0,0.857247437774524,0.627272727272727,-0.229974710501797,0.6,3,0,0,0,0.75,3,0,0,0,0.15
178,1,2,0.395070766227428,0.534545454545455,0.139474688318027,0.75,1,2,0,0,0.5,0,2,0,0,-0.25
179,1,1,0.498263883590698,0.454545454545455,-0.0437184290452437,0,0,0,0,0,1.25,1,1,1,2,1.25
180,1,2,0.607407407407407,0.57,-0.0374074074074074,1,2,0,2,0,1,1,1,2,0,0
181,2,0,0.499305555555556,0.57,0.0706944444444444,0.75,1,1,0,1,0.75,1,1,0,1,0
182,1,2,0.90946803318692,0.279090909090909,-0.630377124096011,0,0,0,0,0,0.4,2,0,0,0,0.4
