ID,group,brsi_all,pre_mood,post_mood,diff_mood,pre_ci,pre_ci_all_1,pre_ci_all_2,pre_ci_all_3,pre_ci_all_4,post_ci_all,post_ci_all_1,post_ci_all_2,post_ci_all_3,post_ci_all_4,diff_ci
237,1,2,0.551244509516837,0.409090909090909,-0.142153600425928,0.75,1,0,0,2,3.75,4,4,3,4,3
238,1,2,0.992222086588542,0.775454545454546,-0.216767541133996,0,0,0,0,0,0,0,0,0,0,0
239,1,2,0.60017360581292,0.650909090909091,0.0507354850961704,1.5,2,1,1,2,1.5,2,1,1,2,0
240,2,3,0.988530990727184,0.987272727272727,-0.00125826345445668,0,0,0,0,0,0,0,0,0,0,0
241,1,3,0.130677836995955,0.435454545454545,0.304776708458591,2,2,2,3,1,1.75,2,2,2,1,-0.25
242,1,3,0.778993050257365,0.490909090909091,-0.288083959348274,0.25,0,0,0,1,0.25,1,0,0,0,0
243,1,2,0.807638883590698,0.65594058304856,-0.151698300542138,2.25,3,1,3,2,3,3,3,3,3,0.75
244,1,1,0.699305555555556,0.66,-0.0393055555555555,1.25,1,3,0,1,1.5,2,1,0,3,0.25
245,2,0,0.361458328035143,0.542727272727273,0.18126894469213,3.25,4,3,2,4,1.25,2,0,0,3,-2
246,1,2,0.704583326975505,0.492626259543679,-0.211957067431826,1,2,0,0,2,1.5,1,2,1,2,0.5
247,1,1,0.8078125,0.924545454545455,0.116732954545455,0.75,1,0,0,2,1.25,2,1,0,2,0.5
248,1,3,0.399612403100775,0.133636363636364,-0.265976039464412,0.25,0,0,0,1,0,0,0,0,0,-0.25
249,1,0,0.894826744753538,0.930909090909091,0.0360823461555526,0.5,1,0,1,0,0.25,0,0,0,1,-0.25
250,2,1,0.625925925925926,0.671818181818182,0.045892255892256,0.5,1,0,0,1,1.75,2,1,1,3,1.25
251,1,3,0.879583326975505,0.234545454545455,-0.64503787243005,0.75,1,1,0,1,2,2,2,2,2,1.25
252,1,3,0.987554904831625,0.584545454545455,-0.403009450286171,1.75,2,2,2,1,0.25,1,0,0,0,-1.5
253,1,1,0.67829860581292,0.554545454545455,-0.123753151267466,0,0,0,0,0,0.75,2,0,1,0,0.75
254,2,2,0.800694444444444,0.793636363636364,-0.0070580808080809,3.25,3,2,4,4,2.25,2,2,3,2,-1
255,1,3,0.396534895070766,0.11,-0.286534895070766,2.75,3,2,4,2,3.25,4,3,4,2,0.5
256,2,0,0.738888883590698,0.72,-0.0188888835906983,0.5,0,0,0,2,0.75,0,0,1,2,0.25
257,2,0,0.562847216924032,0.550909090909091,-0.0119381260149407,0.5,1,0,0,1,1.25,2,0,1,2,0.75
258,1,2,0.80762454975961,0.398000002774325,-0.409624546985285,1.75,2,1,1,3,2.75,3,3,2,3,1
259,2,2,0.952604161368476,0.98,0.0273958386315239,0,0,0,0,0,0,0,0,0,0,0
260,1,3,0.00268423621278673,0.566590909090909,0.563906672878122,1,1,1,1,1,1.25,1,1,2,1,0.25
261,2,0,0.908680550257365,0.990909090909091,0.082228540651726,0,0,0,0,0,0,0,0,0,0,0
