ID,group,time_point,difficulty,Perf,Hits,CorrRejs,FalseAl,Misses,RTs,EffRating
1,1,1,1,100,100,100,0,0,387.45,2.40740740740741
1,1,1,3,70.5882352941177,66.6666666666667,71.4285714285714,28.5714285714286,33.3333333333333,709.45,100
1,1,1,2,100,100,100,0,0,512.6,40.1851851851852
1,1,1,3,94.1176470588235,83.3333333333333,100,0,16.6666666666667,662.7,94.6296296296296
1,1,1,1,100,100,100,0,0,374.95,6.2962962962963
1,1,1,2,100,100,100,0,0,436.15,32.5
1,1,1,1,100,100,100,0,0,355.55,9.62962962962963
1,1,1,3,88.2352941176471,100,84.6153846153846,15.3846153846154,0,704.1,99.7222222222222
1,1,1,2,100,100,100,0,0,402.85,36.2037037037037
1,1,2,1,100,100,100,0,0,365.4,20.1851851851852
1,1,2,3,100,100,100,0,0,564,71.2037037037037
1,1,2,2,100,100,100,0,0,502.3,57.6851851851852
1,1,2,2,100,100,100,0,0,438,59.7222222222222
1,1,2,1,100,100,100,0,0,371,35.1851851851852
1,1,2,3,100,100,100,0,0,681.75,99.9074074074074
1,1,2,1,100,100,100,0,0,398.2,42.8703703703704
1,1,2,2,100,100,100,0,0,407.5,49.0740740740741
1,1,2,3,94.1176470588235,75,100,0,25,591.45,89.9074074074074
2,1,1,3,64.7058823529412,66.6666666666667,63.6363636363636,36.3636363636364,33.3333333333333,721.352941176471,99.9739575386047
2,1,1,1,100,100,100,0,0,557.684210526316,0
2,1,1,2,94.4444444444444,100,90,10,0,614.166666666667,19.9739575386047
2,1,1,2,100,100,100,0,0,603.277777777778,30.9114575386047
2,1,1,1,100,100,100,0,0,534.526315789474,0.364582538604736
2,1,1,3,94.1176470588235,100,88.8888888888889,11.1111111111111,0,648.529411764706,98.7239575386047
2,1,1,2,88.8888888888889,80,92.3076923076923,7.69230769230769,20,621.055555555556,50.2083325386047
2,1,1,1,100,100,100,0,0,529.894736842105,1.77083253860474
2,1,1,3,76.4705882352941,66.6666666666667,81.8181818181818,18.1818181818182,33.3333333333333,721.882352941176,98.6458325386047
2,1,2,2,94.4444444444444,83.3333333333333,100,0,16.6666666666667,561.277777777778,32.0833325386047
2,1,2,1,100,100,100,0,0,503.526315789474,3.09895753860474
2,1,2,3,64.7058823529412,50,69.2307692307692,30.7692307692308,50,706.176470588235,98.8020825386047
2,1,2,2,94.4444444444444,100,92.8571428571429,7.14285714285714,0,485.388888888889,50.5208325386047
2,1,2,2,100,100,100,0,0,424.444444444444,33.7239575386047
2,1,2,3,88.2352941176471,75,92.3076923076923,7.69230769230769,25,584.388888888889,99.2708325386047
2,1,2,2,100,100,100,0,0,574.888888888889,39.0364575386047
2,1,2,1,100,100,100,0,0,407.210526315789,0.364582538604736
2,1,2,3,58.8235294117647,33.3333333333333,64.2857142857143,35.7142857142857,66.6666666666667,613.352941176471,99.9739575386047
3,1,1,1,94.7368421052632,85.7142857142857,100,0,14.2857142857143,472.65,19.5833333333333
3,1,1,2,94.4444444444444,87.5,100,0,12.5,839.7,48.8194444444444
3,1,1,3,88.2352941176471,83.3333333333333,90.9090909090909,9.09090909090909,16.6666666666667,826.2,89.8611111111111
3,1,1,1,94.7368421052632,87.5,100,0,12.5,470.05,0.555555555555556
3,1,1,2,77.7777777777778,87.5,70,30,12.5,605.45,59.375
3,1,1,3,70.5882352941177,50,81.8181818181818,18.1818181818182,50,801.35,91.1111111111111
3,1,1,1,89.4736842105263,83.3333333333333,92.3076923076923,7.69230769230769,16.6666666666667,468.7,29.6527777777778
3,1,1,2,94.4444444444444,100,90.9090909090909,9.09090909090909,0,785.75,50.0694444444444
3,1,1,3,88.2352941176471,80,91.6666666666667,0,20,676.947368421053,69.6527777777778
3,1,2,2,88.8888888888889,80,92.3076923076923,7.69230769230769,20,756.95,10.6944444444444
3,1,2,3,94.1176470588235,100,88.8888888888889,11.1111111111111,0,773.9,59.1666666666667
3,1,2,1,100,100,100,0,0,417.9,0
3,1,2,3,88.2352941176471,77.7777777777778,100,0,22.2222222222222,712.55,30.1388888888889
3,1,2,1,94.7368421052632,88.8888888888889,100,0,11.1111111111111,443.4,0.208333333333333
3,1,2,2,94.4444444444444,100,91.6666666666667,8.33333333333333,0,630.75,19.9305555555556
3,1,2,3,88.2352941176471,83.3333333333333,90.9090909090909,9.09090909090909,16.6666666666667,676.6,60.2777777777778
3,1,2,2,94.4444444444444,100,91.6666666666667,8.33333333333333,0,505.1,29.7916666666667
3,1,2,1,94.7368421052632,75,100,0,25,428.95,21.6666666666667
4,1,1,3,41.1764705882353,0,63.6363636363636,36.3636363636364,100,503.2,89.2386530014641
4,1,1,1,100,100,100,0,0,685.6,20.2293801854563
4,1,1,2,94.4444444444444,87.5,100,0,12.5,738.15,54.3923865300146
4,1,1,2,100,100,100,0,0,666,39.6534895070766
4,1,1,1,100,100,100,0,0,549.75,18.3748169838946
4,1,1,3,88.2352941176471,66.6666666666667,100,0,33.3333333333333,833.85,80.6490971205466
4,1,1,2,100,100,100,0,0,592.8,36.5300146412884
4,1,1,1,100,100,100,0,0,580.6,10.1756954612006
4,1,1,3,58.8235294117647,33.3333333333333,72.7272727272727,27.2727272727273,66.6666666666667,799.8,89.9219131283553
4,1,2,3,52.9411764705882,37.5,66.6666666666667,33.3333333333333,62.5,750.55,91.4836505612494
4,1,2,2,100,100,100,0,0,804.8,29.4045876037091
4,1,2,1,100,100,100,0,0,607.2,10.9565641776476
4,1,2,1,100,100,100,0,0,660.75,10.4685212298682
4,1,2,2,100,100,100,0,0,878.4,33.4065397755002
